,PRICE,PRICE_CAP,VOLUME24,CIRCULATION,PERCENT_chg
Bitcoin,"$11,189.62","$11,189.62","$22,342,225,353","18,451,356 BTC",-1.72%
Ethereum,$387.77,$387.77,"$15,006,562,714","112,042,281 ETH",-1.39%
XRP,$0.299489,$0.299489,"$3,035,524,213","44,862,646,997 XRP *",-4.26%
Tether,$1.00,$1.00,"$34,595,154,082","9,998,221,723 USDT *",0.08%
Bitcoin Cash,$287.10,$287.10,"$2,063,254,152","18,480,675 BCH",-3.60%
Bitcoin SV,$226.53,$226.53,"$1,830,275,486","18,479,302 BSV",-1.04%
Cardano,$0.144921,$0.144921,"$344,820,688","25,927,070,538 ADA",5.97%
Litecoin,$57.32,$57.32,"$2,323,038,333","65,169,373 LTC",-2.87%
Chainlink,$9.46,$9.46,"$1,375,631,474","350,000,000 LINK *",11.68%
Binance Coin,$21.81,$21.81,"$219,859,730","144,406,560 BNB *",-1.80%
Crypto.com Coin,$0.155573,$0.155573,"$97,705,426","18,619,634,703 CRO *",-7.80%
EOS,$3.03,$3.03,"$2,180,409,974","934,908,694 EOS *",-0.91%
Tezos,$3.23,$3.23,"$262,345,952","738,671,462 XTZ *",6.93%
Stellar,$0.108968,$0.108968,"$333,939,416","20,497,791,994 XLM *",1.59%
Monero,$86.56,$86.56,"$89,229,618","17,654,418 XMR",-1.55%
TRON,$0.020369,$0.020369,"$581,917,824","71,659,657,369 TRX *",2.53%
UNUS SED LEO,$1.27,$1.27,"$14,518,811","999,498,893 LEO *",-0.10%
USD Coin,$0.999903,$0.999903,"$366,394,326","1,076,471,773 USDC *",0.20%
Huobi Token,$4.85,$4.85,"$170,801,062","215,789,733 HT *",1.54%
VeChain,$0.018017,$0.018017,"$186,137,717","55,454,734,800 VET *",9.79%
Neo,$12.54,$12.54,"$229,529,592","70,538,831 NEO *",-0.69%
IOTA,$0.304910,$0.304910,"$19,442,918","2,779,530,283 MIOTA *",0.44%
Dash,$86.53,$86.53,"$292,857,871","9,636,942 DASH",-2.21%
Ethereum Classic,$7.11,$7.11,"$821,432,261","116,313,299 ETC",-2.24%
Zcash,$82.30,$82.30,"$399,988,444","9,741,644 ZEC",-2.00%
Cosmos,$3.92,$3.92,"$129,026,584","190,688,439 ATOM *",-1.94%
HedgeTrade,$2.08,$2.08,"$2,049,884","288,208,798 HEDG *",-2.07%
Maker,$582.59,$582.59,"$16,415,536","1,005,577 MKR *",-1.18%
NEM,$0.055692,$0.055692,"$14,710,691","8,999,999,999 XEM *",-0.28%
Ontology,$0.701536,$0.701536,"$92,590,077","699,029,877 ONT *",-0.18%
Dogecoin,$0.003440,$0.003440,"$69,050,374","125,693,390,453 DOGE",0.92%
Aave,$0.313707,$0.313707,"$24,505,832","1,299,999,942 LEND *",-0.35%
Synthetix Network Token,$4.26,$4.26,"$26,509,662","90,943,835 SNX *",1.91%
Basic Attention Token,$0.257002,$0.257002,"$133,485,274","1,487,012,637 BAT *",1.61%
Dai,$1.01,$1.01,"$16,965,600","378,757,444 DAI *",-0.24%
OKB,$5.97,$5.97,"$178,278,023","60,000,000 OKB *",-0.95%
DigiByte,$0.025877,$0.025877,"$15,831,342","13,413,145,130 DGB",-3.04%
Compound,$129.72,$129.72,"$30,553,171","2,561,279 COMP *",0.24%
FTX Token,$3.46,$3.46,"$14,464,916","94,346,958 FTT *",-2.40%
0x,$0.405064,$0.405064,"$41,069,180","713,994,632 ZRX *",4.54%
Elrond,$0.021311,$0.021311,"$23,379,483","13,323,533,427 ERD *",1.94%
Ampleforth,$0.840595,$0.840595,"$30,853,245","331,433,533 AMPL *",-13.44%
Kyber Network,$1.42,$1.42,"$67,042,916","195,533,517 KNC *",0.41%
THETA,$0.316331,$0.316331,"$36,066,898","870,502,690 THETA *",9.06%
Qtum,$2.83,$2.83,"$394,592,940","96,915,480 QTUM *",6.99%
BitTorrent,$0.000390,$0.000390,"$24,175,721","659,952,625,000 BTT *",-1.09%
Algorand,$0.322038,$0.322038,"$36,431,420","771,817,007 ALGO",2.95%
Paxos Standard,$0.999550,$0.999550,"$182,188,442","244,951,954 PAX *",0.08%
Hyperion,$0.769122,$0.769122,"$15,447,124","316,765,917 HYN *",0.38%
Augur,$20.76,$20.76,"$28,453,852","11,000,000 REP *",1.17%
OMG Network,$1.58,$1.58,"$63,029,024","140,245,398 OMG *",-1.45%
Hedera Hashgraph,$0.042940,$0.042940,"$16,536,251","5,033,144,576 HBAR *",-2.20%
ICON,$0.380037,$0.380037,"$22,993,484","558,625,823 ICX *",1.76%
TrueUSD,$1.00,$1.00,"$102,258,091","203,702,809 TUSD *",0.02%
Decred,$16.20,$16.20,"$6,245,228","11,833,241 DCR",-2.12%
Ren,$0.217275,$0.217275,"$34,225,357","868,140,654 REN *",8.60%
Zilliqa,$0.017902,$0.017902,"$36,062,730","10,328,459,432 ZIL",-0.48%
Bitcoin Gold,$10.24,$10.24,"$12,996,646","17,513,924 BTG",-2.99%
Waves,$1.64,$1.64,"$50,274,089","102,647,506 WAVES *",-0.90%
Binance USD,$1.00,$1.00,"$246,037,989","160,550,838 BUSD *",0.22%
Lisk,$1.27,$1.27,"$3,815,507","125,033,370 LSK *",-0.69%
Bitcoin Diamond,$0.841657,$0.841657,"$11,908,501","186,492,898 BCD",-1.76%
Enjin Coin,$0.187373,$0.187373,"$12,146,583","821,201,679 ENJ *",5.50%
Loopring,$0.131218,$0.131218,"$22,120,358","1,112,733,458 LRC *",6.69%
The Midas Touch Gold,$0.034236,$0.034236,"$40,235,136","4,255,459,988 TMTG *",10.39%
Ravencoin,$0.020934,$0.020934,"$11,528,938","6,744,430,000 RVN",-1.61%
Nano,$1.01,$1.01,"$8,478,642","133,248,297 NANO *",-1.80%
Bancor,$1.95,$1.95,"$68,634,560","69,148,529 BNT *",-3.98%
Swipe,$2.03,$2.03,"$112,779,800","65,982,752 SXP *",12.22%
Siacoin,$0.003167,$0.003167,"$2,193,056","41,817,047,634 SC",-0.21%
Holo,$0.000783,$0.000783,"$9,107,154","165,887,850,926 HOT *",1.42%
HUSD,$0.999830,$0.999830,"$21,188,731","128,822,318 HUSD *",0.15%
Flexacoin,$0.004493,$0.004493,"$169,335","28,625,000,000 FXC *",-4.31%
DxChain Token,$0.002513,$0.002513,"$913,450","50,000,000,000 DX *",-2.24%
Nexo,$0.222152,$0.222152,"$5,872,766","560,000,011 NEXO *",-2.07%
Terra,$0.321881,$0.321881,"$7,500,481","385,291,296 LUNA *",-0.91%
MonaCoin,$1.88,$1.88,"$7,143,570","65,729,675 MONA",-3.84%
Bytom,$0.089839,$0.089839,"$18,164,603","1,311,626,294 BTM",-1.60%
ZB Token,$0.247661,$0.247661,"$9,747,674","463,288,810 ZB *",-1.27%
Nervos Network,$0.005669,$0.005669,"$4,740,865","20,169,227,618 CKB *",3.03%
Divi,$0.059443,$0.059443,"$277,468","1,820,261,413 DIVI",-0.12%
Celsius,$0.449286,$0.449286,"$1,466,112","238,863,520 CEL *",5.49%
Band Protocol,$4.93,$4.93,"$26,207,658","20,494,033 BAND *",20.50%
Verge,$0.006035,$0.006035,"$2,370,834","16,336,699,343 XVG",0.00%
Blockstack,$0.183670,$0.183670,"$2,674,330","531,859,649 STX *",2.94%
iExec RLC,$1.17,$1.17,"$6,608,934","80,070,793 RLC *",8.65%
Ocean Protocol,$0.267686,$0.267686,"$6,772,474","347,937,273 OCEAN *",3.31%
Status,$0.026654,$0.026654,"$16,022,605","3,470,483,788 SNT *",-0.27%
Aurora,$0.013916,$0.013916,"$8,480,604","6,542,330,148 AOA *",11.02%
Kava.io,$2.65,$2.65,"$21,226,713","33,485,395 KAVA *",8.47%
Horizen,$8.83,$8.83,"$5,248,466","9,648,350 ZEN",-0.34%
Quant,$7.04,$7.04,"$2,242,370","12,072,738 QNT *",-5.89%
IOST,$0.005593,$0.005593,"$41,236,086","15,084,722,190 IOST *",0.01%
MCO,$5.23,$5.23,"$79,515,868","15,793,831 MCO *",-4.64%
Energy Web Token,$11.97,$11.97,"$2,467,223","6,719,731 EWT *",-4.15%
Reserve Rights,$0.011725,$0.011725,"$7,013,546","6,849,999,000 RSR *",-3.94%
Aragon,$2.46,$2.46,"$608,136","32,480,881 ANT *",-1.95%
SwissBorg,$0.110693,$0.110693,"$1,051,748","715,981,686 CHSB *",1.34%
Komodo,$0.645820,$0.645820,"$3,146,267","121,087,587 KMD",-1.45%
THORChain,$0.492935,$0.492935,"$2,686,277","158,432,088 RUNE *",7.19%
